,sample_stock_return,equilibrium expected return,weights
VTI,-0.00045550656229421125,6.759326633938777e-08,0.02779306852713881
ITOT,0.0005702522766885017,8.64931166938815e-08,0.0012770091185499003
SCHB,-0.0004576095423877352,6.665742994374384e-08,-0.03535466731433101
VEA,-7.972366301064837e-05,6.566107522758513e-08,-0.007951904076187455
IXUS,-3.343825298558506e-05,6.794178232219242e-08,0.010927559204136732
SCHF,-4.508279831640534e-05,6.626251579550796e-08,-0.0018154295285948974
VWO,0.00018756579685613235,9.703630238692524e-08,0.004034331857955728
IEMG,0.00014679874674972942,9.000498545516652e-08,0.010347086448531904
SCHE,0.0001830712475706993,9.433489119158442e-08,-0.014170297579471532
VIG,-0.00035807589779774784,6.22808811978831e-08,0.020080643980493112
DVY,-0.0004087080449832138,6.437901580104635e-08,-0.02521249575590709
SCHD,-0.00038866120788616634,6.214578812714772e-08,-0.001427632481118761
VGSH,2.221347816973034e-06,4.6308586861726374e-11,1.084815398598067
IEF,2.271271132314435e-05,-4.132358002815255e-10,-0.18006128754830705
TLT,5.146199984353779e-05,-1.7584809941701622e-09,0.01952213448774759
MUB,3.5490634489109284e-05,3.973204934419824e-09,0.020241666554860406
TFI,3.3369389606080916e-05,3.044411219768253e-09,0.013416700897644936
PZA,3.057139451760613e-05,4.259708139963828e-09,0.011795644307996553
SCHP,6.0549386067545804e-05,5.749687442070877e-09,-0.007848652181156962
TIP,7.17082721943895e-05,5.56859293685976e-09,-0.0020357003021020253
IPE,7.609857904075594e-05,5.126896942442017e-09,0.04150969426088433
XLE,0.00010903179539418996,9.237631919757385e-08,0.011048522251196378
DJP,0.000641706774761323,4.054867405594606e-08,0.00877283658413547
VDE,0.00016189474909528284,9.428588283484084e-08,-0.009704230312162162
